ts_code,code,name,price,change_pct,volume
600703.SH,600703,三安光电,13.34,9.98,428.93
000301.SZ,000301,东方盛虹,12.17,5.46,52.78
300308.SZ,300308,中际旭创,851.0,5.11,39.86
300450.SZ,300450,先导智能,56.0,4.36,97.31
001979.SZ,001979,招商蛇口,8.85,3.75,84.85
601138.SH,601138,工业富联,60.97,2.78,187.82
002049.SZ,002049,紫光国微,72.89,2.68,21.28
300782.SZ,300782,卓胜微,106.0,2.45,30.31
000630.SZ,000630,铜陵有色,6.43,1.74,300.37
600048.SH,600048,保利发展,6.07,1.68,141.43
300433.SZ,300433,蓝思科技,25.99,1.37,140.75
000776.SZ,000776,广发证券,20.11,1.16,63.33
002074.SZ,002074,国轩高科,40.23,1.13,73.45
688981.SH,688981,中芯国际,105.23,1.01,50.38
000333.SZ,000333,美的集团,78.65,0.96,27.74
600050.SH,600050,中国联通,4.64,0.87,232.6
601288.SH,601288,农业银行,7.06,0.86,355.83
000807.SZ,000807,云铝股份,36.67,0.69,44.73
601336.SH,601336,新华保险,64.27,0.59,31.24
300033.SZ,300033,同花顺,240.88,0.46,12.43
000786.SZ,000786,北新建材,25.67,0.39,16.14
601688.SH,601688,华泰证券,19.07,0.32,71.15
002230.SZ,002230,科大讯飞,48.24,0.29,29.1
600588.SH,600588,用友网络,12.38,0.16,29.7
300408.SZ,300408,三环集团,65.17,0.15,21.57
002179.SZ,002179,中航光电,35.66,0.11,27.62
600438.SH,600438,通威股份,17.61,0.11,44.7
601088.SH,601088,中国神华,45.55,0.04,21.48
600745.SH,600745,闻泰科技,31.18,0.03,17.97
000002.SZ,000002,万 科Ａ,3.96,0.0,98.44
300628.SZ,300628,亿联网络,35.67,0.0,6.17
600837.SH,600837,海通证券,10.41,0.0,0.0
601989.SH,601989,中国重工,5.1,0.0,0.0
002236.SZ,002236,大华股份,19.16,-0.05,68.26
000977.SZ,000977,浪潮信息,68.23,-0.07,61.8
300059.SZ,300059,东方财富,20.04,-0.1,215.75
002241.SZ,002241,歌尔股份,24.19,-0.12,56.98
600585.SH,600585,海螺水泥,22.22,-0.13,29.13
601995.SH,601995,中金公司,33.87,-0.15,12.62
600030.SH,600030,中信证券,26.26,-0.19,106.04
000063.SZ,000063,中兴通讯,35.33,-0.2,61.01
000768.SZ,000768,中航西飞,24.67,-0.2,19.04
000166.SZ,000166,申万宏源,4.74,-0.21,58.81
600115.SH,600115,中国东航,4.41,-0.23,182.72
000725.SZ,000725,京东方Ａ,4.02,-0.25,309.87
600016.SH,600016,民生银行,3.71,-0.27,138.98
601398.SH,601398,工商银行,7.44,-0.27,162.11
600918.SH,600918,中泰证券,6.07,-0.33,15.45
600111.SH,600111,北方稀土,49.22,-0.34,104.89
600570.SH,600570,恒生电子,26.63,-0.34,20.38
